title,album,song_release_date,album_release_date,collaborators,youtube_url
Chalk Outlines (w/ Chinchilla),,,,,https://www.youtube.com/watch?v=4Vn_N5IHHoc
Children of the moon,,,,,https://www.youtube.com/watch?v=6e4Abttm0Fs
Dignity,,,,,https://www.youtube.com/watch?v=3E37nzXX-4g
Do You Believe,,,,,https://www.youtube.com/watch?v=EGgowW6AOyw
Dumb King Come,,,,,https://www.youtube.com/watch?v=gcVUnFisx_Q
Eden,,,,,https://www.youtube.com/watch?v=NdSLsRKnafI
Englishman in New York (The Big Push),,,,,https://www.youtube.com/watch?v=ZI9Q295iJl4
Fentanyl (w/ Knox Hill),,,,Knox Hill,https://www.youtube.com/watch?v=r_QntRsLUuQ
Fire in the Booth,,,,,https://www.youtube.com/watch?v=YHRDWotdCfE
For Joe,,,,,https://www.youtube.com/watch?v=ebX5ZvrT6-o
Fred Again Mash Up,,,,,https://www.youtube.com/watch?v=8ASggnoga9Q
GIRLS!,,,,,https://www.youtube.com/watch?v=ZDRqITGHhMU
Girls Just Want to Have Fun (The Big Push),,,,The Big Push,https://www.youtube.com/watch?v=OqEHMinvxMk
Guns of Brixton (The Big Push),,,,The Big Push,https://www.youtube.com/watch?v=wC9KrhHBOw8
Gutter (w/ venbee),,,,venbee,https://www.youtube.com/watch?v=305Gjh9wBc4
Halftime,,,,,https://www.youtube.com/watch?v=e3_KfTO7dfw
Heart Attack,,,,,https://www.youtube.com/watch?v=aBJmZ51VgNM
Hi Ren,,,,,https://www.youtube.com/watch?v=s_nc1IVoMxc
Higher Grounds (The Big Push),,,,The Big Push,https://www.youtube.com/watch?v=CQCSDq7y_wM
How To Be Me (w/ Chinchilla),,,,,https://www.youtube.com/watch?v=3IhoPpHYXjo
Humble,,,,,https://www.youtube.com/watch?v=PO9UC2Zt59c
I shot the sheriff (The Big Push),,,,,https://www.youtube.com/watch?v=uSeCuR51rek
Icarus,,,,,https://www.youtube.com/watch?v=Yo9fjMywmmk
Jessica (w/ Jimmy Sharp),,,,,https://www.youtube.com/watch?v=zU_GnJdT_Fk
Knockin' on Heaven's Door,,,,,https://www.youtube.com/watch?v=RwqY3acBleo
Kujo beat down,,,,,https://www.youtube.com/watch?v=it_hPbqcYOA
Losing It,,,,,https://www.youtube.com/watch?v=mLvAGjhDssc
Mackay,,,,,https://www.youtube.com/watch?v=TDrFh9RnpQ4
Mambo No. 5 (The Big Push),,,,The Big Push,https://www.youtube.com/watch?v=3e-P8pFFpiI
Mannequin,,,,,https://www.youtube.com/watch?v=yu1jhwNrryY
Money Game,,,,,https://www.youtube.com/watch?v=0ivQwwgW4OY
Money Ties,,,,,https://www.youtube.com/watch?v=Uq3Z6D74dSA
My Generation (The Big Push),,,,The Big Push,https://www.youtube.com/watch?v=OGJxccarvkE
Oh my woman!,,,,,https://www.youtube.com/watch?v=bVvA7VOU0MI
Pain Salesmen (w/ PROF),,,,,https://www.youtube.com/watch?v=V34z9cQQIG4
Paint It Black (The Big Push),,,,The Big Push,https://www.youtube.com/watch?v=9MkngQ2ojT4
Passenger / Kids (The Big Push),,,,The Big Push,https://www.youtube.com/watch?v=fPVQsVG91Jc
Patience,,,,,https://www.youtube.com/watch?v=M8FjMOoJECY
Power,,,,,https://www.youtube.com/watch?v=6_hnhVDtzTY
Power Of Unity,,,,,https://www.youtube.com/watch?v=VLjOLarLE9s
Praise You (Big Push),,,,,https://www.youtube.com/watch?v=5vbA514eVDc
Precious (The Big Push),,,,,https://www.youtube.com/watch?v=Bv-eBPJJBqk
"Right Here, Right Now",,,,,https://www.youtube.com/watch?v=yVaJUdllr3c
Round Town (Skit) (w/ Chinchilla),,,,Chinchilla,https://www.youtube.com/watch?v=Keg_hsAs2xw
Sexual Healing (w/ Chinchilla),,,,Chinchilla,https://www.youtube.com/watch?v=kAzVVbsAgk0
Slaughter House (w/ Kit),Slaughter House,,,,https://www.youtube.com/watch?v=_fTylzY3RsU
Swan Song (The Big Push),,,,,https://www.youtube.com/watch?v=2AFA4sF69mY
Sweet Little Lady (The Big Push),,,,,https://www.youtube.com/watch?v=X9gOvRAZ1jM
Sympathy for the Devil (The Big Push),,,,The Big Push,https://www.youtube.com/watch?v=i6tGeUVCw3g
These Boots Are Made for Walkin' (The Big Push),,,,The Big Push,https://www.youtube.com/watch?v=ZlJ0wSzBWKw
Troubles,,,,,https://www.youtube.com/watch?v=pt7Bpy27d1M
Wade in the water (The Big push),,,,,https://www.youtube.com/watch?v=DbL7Frf6nJI
War Pigs (The Big Push),,,,,https://www.youtube.com/watch?v=azAD9KE9HKE
Watch Out (The Big Push),,,,,https://www.youtube.com/watch?v=fPb1VYSgUAg
What Does Your Love Look Like? (w/ Token),,,,,https://www.youtube.com/watch?v=h4x-qbRs5Jc
What Kind of Woman Is This? (The Big Push),,,,The Big Push,https://www.youtube.com/watch?v=8Rpbg9FG1-o
What went wrong,,,,,https://www.youtube.com/watch?v=jmOdhbC6BZc
What went wrong II,,,,,https://www.youtube.com/watch?v=pqfGZ8IRCXk
Why My Woman (Big Push),,,,,https://www.youtube.com/watch?v=fYcAbOGVg3s
Wildfire,,,,,https://www.youtube.com/watch?v=bEVfqR5PJE8
Xbox Marijuana,,,,,https://www.youtube.com/watch?v=h85ekdgaiPg
